SN,Location ,PrimaryIP,PowerStatus,Environment,BkpPriority,VirtualPhysical,HostClientOperatingsystem,Application,CPU,RAM,Storage,LANports,LAN1x45,LAN2x46,LAN3x35
89,Rack-2-03.13,192.168.45.59,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/Ujjivan_45.59,1,8MB,181GB,1,Down,,
90,Rack-2-03.14,192.168.45.81,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/Umeed_45.81,1,8MB,372GB,1,Down,,
91,Rack-2-03.15,192.168.35.220,ON,Prod,P3,VM,Ubuntu 14.01 64-bit,LINUX/NITI ERP_35.187,2,8GB,1TB,1,,,UP
92,Rack-2-04,192.168.46.95,ON,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2=20 (CPU Intel�  Xeon� Silver 4114 @2.20GHz),48GB,8.3TB,4,UP,Down,
93,Rack-2-04.1,192.168.45.131,ON,Prod,P2,VM,Windows 2016 STD,BPL-BPSL-Jharkan Live_45.131,4,16GB,528GB,1,UP,,
94,Rack-2-04.3,192.168.46.29,ON,Testing,P3,VM,Ubuntu 20 Lts,DISH2-BIDA-Server_45.229-46.29,16,32GB,1.63TB,1,,UP,
95,Rack-2-04.3,192.168.45.13-35-226,OFF,Prod,P3,VM,Ubuntu 14 Lts,New-ERP Pro Live_35.226/45.13-bkp,1,256MB,1TB,1,UP,,
96,Rack-2-05,192.168.45.232,ON,Host-ESXI,NA,Physical,Windows 2016 Std,Windows Hyper-V,,64GB,"600*2, 2.4TB*6",4,Down,Down,
97,Rack-2-05.1,192.168.45.33,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira Confuence-KMS_45.33,2,8GB,400GB,1,UP,,
98,Rack-2-05.2,192.168.45.34,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira DB_45.34,2,16G,400GB,1,UP,,
99,Rack-3-11.8,192.168.45.97,ON,Prod,P1,VM,Windows 2016 STD,Automation_Server_Jan-23-DB_45.97,2,8GB,508GB,1,UP,,
100,Rack-2-04.7,192.168.45.11,ON,Prod,P3,VM,CentOS,Linux/NAS-45.11,4,4GB,6TB,1,UP,,
101,Rack-2-05.4,192.168.45.39,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira-new_45.39,2,4GB,400GB,1,UP,,
102,Rack-2-05.5,192.168.45.36,ON,Non-Prod,P2,VM,Ubuntu 22.04,test-vm_SSO_45.36,2,4GB,400GB,1,UP,,
103,Rack-2-06,192.168.45.234,ON,Prod,P3,Physical,Windows 2016 STD,OLD DB backup Server,10x2 CPU Intel�  Xeon� silver 4114 CPU @2.20GHz,64GB,1.2TB,4,UP,Down,
104,Rack-2-07,192.168.45.242,ON,Prod,P3,Physical,Windows 2016 STD,Swymed,Intel�  Xeon� silver 4114 CPU @2.20GHz,128GB,2.4TB*6,4,UP,Down,
105,Rack-2-08,192.168.45.161,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 Std,Windows Hyper-V,10x2 Intel�  Xeon� silver 4114 CPU @2.20GHz,128GB,12.TB,4,UP,Down,
106,Rack-2-08.1,192.168.45.79,OFF,Prod,P3,VM,Linux,API tsting _45.79,2,16GB,500GB,1,Down,,
