SN,Location ,PrimaryIP,PowerStatus,Environment,BkpPriority,VirtualPhysical,HostClientOperatingsystem,Application,CPU,RAM,Storage,LANports,LAN1x45,LAN2x46,LAN3x35
1,Rack-1-01,192.168.45.203,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2=32 (CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz),48GB,1.67 TB,4,UP,Down,Down
2,Rack-1-1.1,192.168.45.111,ON,Prod,P2,VM,Win 2016 Std,Bihar_DB_Replication_45.111,4,8GB,250GB,1,UP,,
3,Rack-1-1.2,192.168.45.243,ON,Non-prod,P2,VM,Ubuntu 22.04,Scan and General-SambaShare IT,2,2GB,127+400GB,1,UP,,
4,Rack-1-1.3,192.168.45.114,ON,Prod,P2,VM,Win 2016 Std,Jharkhand_DB_Replication_45.114,4,8GB,250GB,1,UP,,
5,Rack-1-1.4,192.168.45.188,ON,Non-prod,P3,VM,Ubuntu 20 LTS,Jira Application,6,6GB,500GB,1,UP,NA,
6,Rack-1-1.5,192.168.45.187,ON,Non-prod,P3,VM,Ubuntu 20 LTS,Jira New,6,4GB,500GB,1,UP,NA,
7,Rack-1-02,192.168.45.204,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2=32 (CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz),48GB,1.6 TB,4,UP,UP,Down
8,Rack-1-2.01,192.168.46.37,ON,Prod,P2,VM,Windows 2016 DC,CentralServer25022020_46.37,2,4GB,250GB,1,,UP,
9,Rack-1-2.02,192.168.45.138,ON,Prod,P2,VM,Windows 2016 DC,mmu-45-138,4,16GB,500GB,1,UP,,
10,Rack-1-2.03,192.168.45.54-46.36,ON,Prod,P2,VM,Windows 2016 DC,R2/06/HP/ESXI/Win/Digwal Bkp_45.54-copy-46.36,2,6GB,250GB,2,DOWN,UP,
11,Rack-1-2.04,192.168.45.23,ON,Prod,P2,VM,Windows 2016 DC,R2/06/HP/ESXI/Win/Sanjeevani 45.23,2,4GB,250GB,1,1,,
12,Rack-1-03,192.168.35.223,ON,Prod,P1,Physical,Windows 2016 STD,Swymed UAT,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP,
13,Rack-1-04,192.168.45.60,ON,Prod,P2,Physical,Windows 2016 STD,AMRIT,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP,
14,Rack-1-05,192.168.45.55,ON,Prod,P1,Physical,Czentrix-UAT,C-Zentrix,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP,
15,Rack-1-06,192.168.45.205,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2=32 (CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz),48GB,1.6 TB,4,UP,UP,
16,Rack-1-6.1,192.168.45.150,ON,Prod,P2,VM,Win 2016 Std,Piramal Foundation ROOT Domain,4,8GB,250GB,1,UP,,
17,Rack-1-6.2,192.168.45.151,ON,Prod,P2,VM,Win 2016 Std,DBC-CDC,2,6GB,250GB,1,UP,,
18,Rack-1-6.3,192.168.45.152,ON,Prod,P2,VM,Win 2016 Std,ADC-CDC,2,6GB,250GB,1,UP,,
19,Rack-1-6.4,192.168.45.153,ON,Prod,P2,VM,Win 2016 Std,THC-CDC,2,6GB,250GB,1,UP,,
20,Rack-1-07,192.168.45.206,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2=32 (CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz),48GB,1.6 TB,4,UP,UP,
21,Rack-1-7.1,192.168.45.144,ON,Dev,P2,VM,Ubuntu 18,ILMS Dev Serv Docker,4,10GB,500GB,1,UP,,
22,Rack-1-7.1,192.168.45.70,ON,Dev,P2,VM,Win 2016 Std,ECD-Demo-45.70,6,24GB,500GB,1,UP,,
23,Rack-1-08,192.168.35.239,ON,Prod,P1,VM,Centos7,Czentrix-1097,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP,
24,Rack-1-09,192.168.45.207,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2=32 (CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz),48GB,1.6 TB,4,UP,UP,
25,Rack-1-9.1,192.168.45.27,ON,Non-prod,P3,VM,Ubuntu 20 LTS,Samba_Share-Presales-and-Promethoues-Grafana-_45.27,3,6GB,127+500GB,1,UP,,
26,Rack-1-9.2,192.168.45.39,ON,Non-prod,P2,VM,Ubuntu 20 LTS,Jira Service Manager Live_45.39,4,8GB,250GB,1,UP,,
27,Rack-1-9.3,192.168.45.68,OFF,Non-prod,P3,VM,Centos-7,centos7-Thehive-SOC-security_45.68,2,4GB,150GB,1,UP,,
28,Rack-1-9.4,192.168.45.139,ON,Non-prod,P2,VM,Ubuntu 22 LTS,Zabbix-Monitoring-45.139,4,6GB,200GB,1,UP,UP,
29,Rack-1-9.5,192.168.45.136,ON,prod,P2,VM,Windows 2016 STD,Veeam-Backup_Primary_45.136,12,16GB,250GB,1,UP,UP,
30,Rack-1-10,192.168.45.246,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 Std,Windows Hyper-V,16x2=32 (CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz),48GB,1.6 TB,4,UP,UP,
31,Rack-1-10.2,192.168.45.74,ON,Prod,P1,VM,Windows 2016 STD,Sanofi_MUFG_Server_New,4,16GB,500GB,1,UP,,
32,Rack-1-10.3,192.168.45.178,ON,Prod,P1,VM,Windows 2016 STD,STFC AMRIT_New,4,24GB,500GB,1,UP,,
33,Rack-1-11,192.168.46.91,ON,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2=12 (CPU Intel� Xeon� CPU E5-2630 v2 @ 2.60GHz),64GB,1.8 TB,4,UP,UP,
34,Rack-1-11.1,192.168.45.82_45.22,OFF,Dev,P3,VM,Windows 2016 STD,ESXI/Win/AMRIT Server_45.82_45.22,1,8MB,445GB,1,DOWN,,
35,Rack-1-11.3,192.168.45.24,ON,Prod,P3,VM,Ubuntu 14,NITI_ERP_testing_45.24,2,8GB,1024GB,1,UP,,
36,Rack-1-11.1,192.168.45.22,ON,Dev,P3,VM,Windows 2016 STD,ESXI/Win/Wipro-Dev_45.22,12,36GB,463GB,1,UP,,
37,Rack-1-12,192.168.46.94,ON,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2=12 CPU Intel� Xeon� CPU E5-2630 v2 @ 2.60GHz,32GB,1.8 TB,4,UP,UP,UP
38,Rack-1-12.1,192.168.45.121,ON,DEV,P3,VM,Ubuntu-18,Gitlab_Production_45.121,4,4GB,204GB,1,UP,,
39,Rack-1-12.3,192.168.45.,ON,Non-prod,P3,VM,Ubuntu-18,ESXI/Ubuntu/PSMRI SFTP,1,4GB,104GB,1,UP,,
40,Rack-1-12.4,192.168.35.182,ON,Non-prod,P3,VM,Win 7,ESXI/Win7/ERP_DASHBOARD_35.182,4,4GB,68GB,2,UP,,UP
41,Rack-1-12.5,192.168.45.12,ON,Prod,P2,VM,Windows 2016 STD,ESXI/Win/MHS & Araku  Backups Server_45.12,4,8GB,679GB,1,UP,,
42,Rack-1-13,192.168.46.93,OFF,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2=12 ( CPU Intel� Xeon� CPU E5-2630 v2 @ 2.60GHz),32GB,1.8 TB,4,UP,UP,
43,Rack-1-14,192.168.46.92,ON,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2=12 (CPU Intel� Xeon� CPU E5-2630 v2 @ 2.60GHz),32GB,1.8 TB,4,UP,UP,UP
44,Rack-1-14.1,192.168.45.14,ON,Prod,P1,VM,Ubuntu-14,Linux/ERP Pro Live_35.226/45.14,12,16GB,1.2TB,2,UP,Down,UP
45,Rack-1-14.2,192.168.35.110,ON,Prod,P1,VM,Ubuntu-20,GR (Greviance 1097-Ahex),2,8GB,255GB,1,,,UP
46,Rack-1-14.3,192.168.45.115,ON,Prod,P3,VM,Windows server 2008R2,Tableau Reports 45.115,2,4GB,504GB,1,UP,,
47,Rack-1-15,192.168.45.245,ON,Prod,P2,Physical,Windows 2016 DC,AMRIT,Intel�  Xeon� CPU E5-2620 v4 @2.10GHz,64 GB,16TB,4,UP,UP,
48,Rack-1-16,192.168.46.97,ON,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2=20 (CPU Intel�  Xeon� CPU E5-2620 v4 @2.10GHz),128 GB,10.91TB,4,UP,UP,UP
49,Rack-1-16.1,192.168.45.65,OFF,Dev,P3,VM,Windows 2016 STD,Amrit Demo Server45.65,1,8MB,472GB,1,Down,,
50,Rack-1-16.2,192.168.45.74,ON,Prod,P1,VM,Windows 2016 STD,Bayer-Live-Prod-45.74,6,18GB,930GB,1,UP,,
