SN,Location ,Primary IP,Power Status,Environment,Bkp Priority,Virtual/Physical,Host/ Client Operating system,Application,CPU,RAM,Storage,LAN ports,LAN 1-45,LAN 2-46
1,Rack+B2:L2-1-01,192.168.45.203,ON,Host,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,Down
2,Rack-1-1.1,192.168.45.111,ON,Prod,P2,VM,Win 2016 Std,Bihar_DB_Replication_45.111,4,8GB,250GB,1,UP,
3,Rack-1-1.2,192.168.45.243,ON,Non-prod,P2,VM,Ubuntu 22.04,Scan and General-SambaShare IT,2,2GB,127+400GB,1,UP,
4,Rack-1-1.3,192.168.45.114,ON,Prod,P2,VM,Win 2016 Std,Jharkhand_DB_Replication_45.114,4,2.4GB,250GB,1,UP,
5,Rack-1-1.4,192.168.45.188,ON,Non-prod,P3,VM,Ubuntu 20 LTS,Jira,4,16GB,500GB,1,UP,NA
6,Rack-1-1.5,192.168.45.187,ON,Non-prod,P3,VM,Ubuntu 20 LTS,Jira,6,4GB,500GB,1,UP,NA
7,Rack-1-02,192.168.45.204,ON,Host,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
8,Rack-1-2.01,192.168.46.37,ON,Prod,P2,VM,Windows 2016 DC,CentralServer25022020_46.37,2,6GB,250GB,2,1,
9,Rack-1-2.02,192.168.45.54/46.36,ON,Prod,P2,VM,Windows 2016 DC,R2/06/HP/ESXI/Win/Digwal Bkp_45.54-copy-46.36,2,6GB,250GB,2,1,
10,Rack-1-2.03,192.168.45.23,ON,Prod,P2,VM,Windows 2016 DC,R2/06/HP/ESXI/Win/Sanjeevani 45.23,2,6GB,250GB,1,1,
11,Rack-1-2.04,192.168.45.159,ON,Non-prod,NA,VM,Windows 2016 DC,veeam-proxy-45.159,2,6GB,250GB,1,1,
